order_id,sales,profit,discount,quantity,category
5002,1853.94,-263.38,0.67,5,Office Supplies
9666,49.04,725.66,0.24,2,Technology
5333,585.99,-339.45,0.44,5,Furniture
4450,3590.88,-194.6,0.51,5,Office Supplies
9004,1263.1,862.24,0.04,7,Furniture
1722,27.69,656.68,0.51,5,Technology
8239,2762.89,141.53,0.01,2,Office Supplies
3442,2732.5,751.89,0.47,3,Furniture
3088,218.73,46.98,0.75,1,Furniture
4441,3413.51,500.4,0.28,9,Furniture
3532,4629.56,-144.89,0.13,3,Furniture
1406,905.01,886.73,0.63,7,Office Supplies
5065,1341.36,681.06,0.09,1,Furniture
4644,1005.87,877.68,0.28,4,Technology
1387,3303.57,97.7,0.22,2,Furniture
6753,3210.99,99.52,0.78,9,Furniture
1452,585.56,955.6,0.14,5,Technology
2776,2986.89,18.53,0.63,7,Office Supplies
9379,587.07,849.26,0.15,1,Office Supplies
8144,18.44,888.36,0.43,4,Furniture
8066,359.17,496.36,0.26,6,Office Supplies
3041,3601.57,-49.52,0.25,7,Furniture
7592,3489.07,331.62,0.15,7,Office Supplies
3851,3081.42,-48.58,0.44,1,Furniture
5700,1058.81,678.64,0.49,6,Furniture
8238,2216.38,-179.45,0.38,3,Office Supplies
2389,1426.09,495.78,0.5,2,Technology
6085,1130.96,-201.31,0.02,4,Furniture
2193,2282.53,829.21,0.46,7,Furniture
7547,1227.48,484.09,0.0,2,Furniture
4585,887.67,936.95,0.41,1,Office Supplies
5082,4588.18,-317.96,0.11,8,Office Supplies
9702,4939.58,393.18,0.76,8,Office Supplies
9270,2139.44,860.28,0.36,3,Office Supplies
8777,2255.85,627.67,0.67,5,Office Supplies
8939,3137.47,-88.1,0.06,5,Technology
5451,1685.88,839.54,0.06,3,Technology
7275,3472.81,559.63,0.05,7,Furniture
9890,2334.96,-406.6,0.67,7,Office Supplies
1320,4285.09,648.39,0.3,1,Furniture
5892,3769.84,780.17,0.76,7,Office Supplies
9947,4001.34,846.72,0.39,5,Furniture
8956,154.83,4.19,0.54,7,Office Supplies
3704,4204.12,879.31,0.78,9,Technology
7455,2963.54,494.5,0.07,7,Technology
8564,916.83,-109.77,0.26,8,Furniture
6529,3808.54,68.69,0.6,7,Furniture
2341,2356.83,623.54,0.04,6,Technology
2124,3908.35,477.63,0.6,4,Technology
1333,3110.46,-142.18,0.38,2,Office Supplies
4571,2330.52,-115.63,0.3,10,Office Supplies
2876,3891.18,-254.35,0.25,10,Technology
6111,2883.23,862.04,0.3,4,Technology
4978,518.49,658.72,0.68,10,Technology
1672,1742.55,142.57,0.3,9,Office Supplies
6590,73.13,130.09,0.39,7,Furniture
8532,3539.47,153.23,0.59,5,Office Supplies
9817,3875.46,197.31,0.66,10,Furniture
6280,4260.05,746.1,0.07,8,Technology
8613,2853.55,502.28,0.27,8,Furniture
3979,2442.87,32.24,0.21,5,Office Supplies
5526,2783.4,274.94,0.15,4,Office Supplies
7658,2448.0,637.25,0.55,8,Furniture
1282,474.34,-167.61,0.55,5,Office Supplies
7046,2371.57,296.38,0.34,9,Furniture
6764,3517.25,-93.63,0.2,2,Office Supplies
4155,1584.58,614.32,0.76,3,Technology
4545,3695.64,-85.25,0.47,9,Office Supplies
5636,4902.75,748.94,0.24,6,Technology
5952,80.6,301.2,0.22,1,Office Supplies
5786,3490.11,-310.58,0.69,8,Technology
1200,2874.58,204.1,0.35,3,Technology
5136,4705.91,216.59,0.66,7,Furniture
2213,2889.34,529.68,0.12,10,Furniture
2395,4969.65,-322.32,0.61,10,Office Supplies
4697,3880.71,70.57,0.73,5,Office Supplies
8025,1533.85,431.54,0.49,2,Technology
4457,1330.58,-378.22,0.19,9,Technology
3564,23.35,175.76,0.48,5,Technology
4792,1447.64,-75.92,0.69,2,Office Supplies
4824,4620.32,681.74,0.5,4,Furniture
2880,2727.37,471.45,0.73,3,Technology
1977,837.95,-38.58,0.6,10,Furniture
8195,630.52,533.02,0.56,5,Office Supplies
9847,2474.04,-379.34,0.03,7,Office Supplies
6280,3022.53,-461.2,0.18,10,Office Supplies
1339,4997.87,508.42,0.22,1,Technology
8708,2599.63,163.34,0.22,10,Furniture
9056,4845.59,205.02,0.33,6,Office Supplies
2713,4290.09,-5.29,0.55,5,Office Supplies
7561,4069.69,325.14,0.36,6,Furniture
6296,588.45,658.82,0.69,1,Office Supplies
9889,2315.26,-418.69,0.41,10,Furniture
8242,3802.35,-194.66,0.44,5,Furniture
8941,615.92,959.72,0.49,4,Office Supplies
3594,1560.64,-479.49,0.33,4,Technology
8560,4735.83,471.56,0.12,5,Office Supplies
5479,2083.3,223.75,0.38,8,Office Supplies
3369,1924.09,882.8,0.41,3,Technology
5526,3865.65,781.62,0.27,9,Furniture
1042,1421.37,-52.17,0.47,8,Technology
8316,2697.52,17.69,0.44,9,Furniture
8460,4664.93,804.4,0.78,4,Office Supplies
7274,1175.48,663.32,0.03,8,Office Supplies
7246,1936.53,495.53,0.66,3,Furniture
1606,639.97,948.03,0.27,2,Furniture
2633,2634.5,185.39,0.58,7,Office Supplies
3529,383.39,672.29,0.21,10,Office Supplies
7512,3252.68,777.65,0.68,9,Furniture
6188,3137.73,831.16,0.39,9,Technology
2121,1181.5,526.6,0.23,4,Office Supplies
2480,2175.52,-352.34,0.51,2,Furniture
3725,3473.07,855.14,0.04,1,Furniture
6873,1880.46,-281.65,0.42,10,Office Supplies
3950,858.22,-381.55,0.7,10,Office Supplies
4945,2493.36,374.74,0.19,5,Furniture
5183,3337.54,848.36,0.37,5,Office Supplies
9955,798.3,162.59,0.28,10,Furniture
7951,3454.66,185.25,0.24,7,Furniture
2747,1193.66,357.88,0.46,5,Technology
7484,1379.66,348.89,0.55,1,Office Supplies
9138,4165.87,854.4,0.62,4,Office Supplies
6772,1102.83,-214.8,0.2,3,Office Supplies
2591,4517.98,469.51,0.25,8,Technology
6977,3664.48,-364.8,0.24,7,Technology
4289,669.48,309.11,0.78,9,Office Supplies
5465,4154.06,-114.54,0.66,8,Furniture
6549,4023.12,202.5,0.06,4,Office Supplies
7511,4836.68,706.88,0.29,7,Technology
5332,2687.5,182.18,0.54,5,Office Supplies
7242,4113.86,910.44,0.09,4,Furniture
1410,3101.54,914.75,0.26,10,Technology
2035,3180.67,196.4,0.56,7,Technology
3290,236.28,-444.18,0.8,2,Technology
4846,4437.42,-296.5,0.36,9,Furniture
3531,4428.21,482.38,0.67,10,Furniture
5583,173.25,55.79,0.35,4,Furniture
2627,4904.83,51.0,0.72,6,Technology
7523,1386.65,952.31,0.76,8,Technology
4475,3212.11,395.72,0.02,6,Technology
3063,3937.02,-192.19,0.66,9,Technology
4538,4067.13,-150.5,0.62,10,Technology
5542,4293.45,-282.97,0.1,5,Technology
2801,3308.68,-461.33,0.01,4,Office Supplies
6304,88.75,-101.95,0.1,7,Office Supplies
2862,3730.87,214.37,0.62,9,Office Supplies
2786,2265.51,-167.68,0.49,9,Furniture
8504,3220.27,-453.27,0.8,7,Furniture
2768,2456.44,864.55,0.06,2,Furniture
3430,337.75,-87.48,0.51,9,Office Supplies
6327,1910.71,396.09,0.24,9,Office Supplies
8048,504.9,552.67,0.68,9,Office Supplies
4522,2156.05,832.14,0.33,8,Furniture
7815,3650.77,-31.18,0.25,5,Furniture
3500,3437.24,211.4,0.07,2,Technology
8075,491.86,608.19,0.65,9,Technology
6400,3353.37,116.21,0.7,7,Office Supplies
1842,4842.31,400.62,0.28,10,Office Supplies
4485,782.1,223.28,0.68,6,Office Supplies
7022,583.28,-82.15,0.18,7,Office Supplies
1430,3048.88,486.75,0.55,1,Technology
5477,3516.47,-36.52,0.27,1,Technology
3347,2835.94,101.18,0.11,1,Technology
9691,1083.51,129.75,0.27,6,Furniture
6314,3886.41,351.39,0.07,1,Technology
3579,3774.64,-425.36,0.07,8,Office Supplies
7947,2433.45,163.07,0.22,9,Technology
6655,2155.27,-75.13,0.54,8,Office Supplies
6053,236.63,92.9,0.48,1,Technology
5938,4727.17,651.02,0.61,5,Furniture
2965,48.57,620.52,0.14,7,Office Supplies
4770,2506.31,750.03,0.64,2,Furniture
1693,2186.74,189.63,0.06,6,Office Supplies
8033,2871.26,564.25,0.33,2,Furniture
1341,4831.34,-242.19,0.76,8,Office Supplies
6928,449.77,766.73,0.19,10,Furniture
9584,402.45,805.79,0.6,4,Furniture
3754,391.13,449.84,0.42,4,Furniture
6752,3639.62,728.42,0.65,4,Technology
3399,1287.28,-239.75,0.12,2,Technology
9095,2325.13,345.6,0.46,10,Office Supplies
6295,4322.59,440.83,0.12,2,Furniture
8245,3160.61,694.49,0.47,6,Office Supplies
2215,1558.94,177.87,0.05,5,Technology
2479,3078.89,260.6,0.37,9,Office Supplies
1672,2254.17,714.72,0.52,6,Office Supplies
8792,2511.82,936.58,0.36,6,Office Supplies
2381,2527.7,-241.16,0.2,8,Furniture
9586,2618.51,-261.88,0.3,5,Furniture
7697,3874.58,518.35,0.04,6,Technology
6401,481.58,517.57,0.23,10,Technology
6461,416.69,495.42,0.73,5,Office Supplies
7421,653.47,563.25,0.07,9,Furniture
6381,4067.79,505.17,0.66,9,Technology
7937,2547.36,-472.65,0.25,4,Furniture
8967,968.11,999.96,0.12,5,Technology
9317,3856.66,752.68,0.71,1,Office Supplies
6517,4383.2,427.05,0.48,3,Technology
3962,4158.41,656.65,0.65,3,Office Supplies
8170,228.03,46.45,0.58,8,Office Supplies
5668,3764.43,675.7,0.19,4,Furniture
8684,4520.83,-208.98,0.54,10,Furniture
8564,3849.5,667.19,0.4,7,Technology
4271,4008.28,-292.4,0.2,8,Furniture
2680,3559.89,273.86,0.1,2,Technology
5469,2252.1,270.03,0.66,2,Technology
8391,4424.3,895.71,0.33,7,Office Supplies
7126,1186.53,991.79,0.3,1,Furniture
2623,4197.49,474.94,0.63,3,Technology
5700,4587.81,208.68,0.66,8,Furniture
1086,4530.23,-471.49,0.17,3,Office Supplies
9647,2122.04,664.26,0.19,2,Technology
4906,2104.93,690.85,0.37,2,Furniture
9782,92.01,273.06,0.19,3,Furniture
8032,17.81,29.22,0.46,3,Office Supplies
2402,2622.19,40.91,0.76,9,Office Supplies
9316,2775.22,85.68,0.38,7,Furniture
5155,3739.11,35.64,0.05,4,Office Supplies
2698,3859.79,602.78,0.27,1,Furniture
9945,1699.35,464.19,0.66,8,Office Supplies
8840,3162.36,717.25,0.05,8,Technology
5807,1015.94,686.66,0.71,6,Furniture
9444,1997.14,723.11,0.38,1,Office Supplies
4131,1437.69,793.21,0.04,6,Furniture
3039,3998.72,155.43,0.32,8,Furniture
6554,4868.88,244.3,0.4,9,Furniture
2353,3638.14,-381.61,0.48,3,Office Supplies
5813,1612.85,-379.9,0.53,5,Furniture
7981,841.56,165.86,0.36,6,Office Supplies
8126,1380.03,970.04,0.76,2,Office Supplies
7655,1822.92,701.64,0.54,1,Technology
8179,183.65,-399.15,0.62,6,Furniture
7272,4747.84,-451.42,0.12,8,Furniture
7095,2225.26,-384.67,0.11,6,Furniture
6150,3251.31,-125.58,0.09,3,Furniture
9482,1941.07,342.51,0.21,5,Office Supplies
8311,1080.71,417.82,0.56,8,Technology
3009,687.28,-388.92,0.14,8,Technology
6236,3342.52,564.31,0.44,5,Furniture
3580,3561.93,890.99,0.51,6,Office Supplies
4673,615.6,-198.53,0.11,8,Technology
6912,2774.57,53.37,0.64,9,Technology
2412,338.08,97.24,0.57,8,Office Supplies
7730,3848.13,735.01,0.06,6,Office Supplies
2215,2255.37,520.16,0.28,9,Office Supplies
3981,3841.23,-306.45,0.4,1,Technology
9488,773.55,-253.01,0.26,4,Furniture
9501,4475.68,768.9,0.2,9,Furniture
3050,3128.86,421.64,0.07,3,Office Supplies
3526,864.29,436.72,0.72,6,Office Supplies
1674,4127.93,-457.44,0.04,10,Furniture
4453,3837.13,124.88,0.51,8,Office Supplies
9938,1455.46,934.98,0.39,7,Furniture
8430,374.14,-410.13,0.35,8,Furniture
4342,1707.56,-284.5,0.69,6,Office Supplies
6658,4877.12,-303.85,0.3,9,Technology
6228,1216.27,-316.22,0.36,3,Technology
1829,1458.16,76.22,0.49,4,Technology
6364,4669.42,581.69,0.15,3,Furniture
9433,2339.41,818.61,0.4,2,Furniture
9281,2291.58,-138.91,0.47,1,Technology
5609,2479.52,823.51,0.52,8,Furniture
9793,50.81,-338.75,0.11,5,Office Supplies
6992,3821.65,48.91,0.32,10,Office Supplies
4189,1818.99,-67.1,0.31,8,Office Supplies
5582,4128.3,434.86,0.49,3,Technology
7453,1872.26,980.18,0.45,6,Technology
4261,3016.29,102.08,0.03,1,Technology
6456,4021.79,279.0,0.12,9,Technology
6373,4657.53,-22.2,0.31,10,Office Supplies
5902,2972.69,260.97,0.41,8,Office Supplies
5911,2379.71,-475.04,0.26,2,Furniture
6040,3985.81,587.99,0.55,1,Office Supplies
8775,1335.0,483.39,0.78,10,Office Supplies
4728,3609.79,375.28,0.14,10,Furniture
3421,4110.09,-136.71,0.46,2,Technology
1310,2210.78,128.17,0.33,4,Furniture
9221,3877.11,880.78,0.7,1,Office Supplies
3262,2598.23,341.33,0.8,8,Office Supplies
7173,1575.63,-240.23,0.73,6,Office Supplies
6804,3382.58,801.48,0.54,5,Office Supplies
8932,969.4,-130.22,0.45,4,Furniture
5735,3527.46,535.36,0.39,8,Furniture
5480,1446.07,360.22,0.43,7,Furniture
3399,1459.36,-68.55,0.57,6,Furniture
5201,3739.22,-179.02,0.66,5,Office Supplies
5450,694.99,423.52,0.47,4,Technology
9700,1136.1,-150.75,0.08,6,Office Supplies
8739,511.72,656.15,0.0,9,Technology
7666,3267.94,820.97,0.38,4,Furniture
6262,1434.22,-411.26,0.61,10,Technology
9767,3696.05,775.5,0.03,3,Furniture
3880,4670.27,-445.49,0.67,8,Technology
5742,4384.95,-486.1,0.45,2,Furniture
5662,2277.2,461.97,0.42,3,Office Supplies
8668,1371.46,713.22,0.26,8,Office Supplies
5215,3595.8,-478.87,0.27,5,Office Supplies
4164,885.72,784.22,0.72,7,Office Supplies
6372,442.82,503.88,0.15,3,Furniture
6301,4679.77,-489.75,0.31,8,Furniture
6400,1516.71,584.32,0.01,6,Office Supplies
4871,320.0,-322.66,0.25,7,Office Supplies
9233,4616.3,831.7,0.62,2,Office Supplies
5833,1844.04,-168.73,0.77,8,Technology
8454,3741.2,408.61,0.33,9,Furniture
9806,4011.96,738.41,0.61,10,Technology
9609,2239.27,555.65,0.06,10,Technology
2011,4145.58,854.33,0.16,9,Technology
3695,1647.31,280.51,0.09,4,Office Supplies
9008,463.8,265.56,0.65,8,Technology
9409,2082.97,345.87,0.45,5,Office Supplies
1356,1985.78,724.68,0.6,10,Technology
1742,2124.25,550.58,0.43,1,Technology
8734,168.36,113.3,0.62,7,Furniture
7266,2248.2,875.67,0.3,2,Office Supplies
9835,673.62,790.43,0.09,9,Furniture
9664,645.46,968.09,0.67,1,Furniture
8585,3370.76,316.67,0.43,4,Technology
8546,1737.34,-86.53,0.75,2,Technology
7868,3078.47,904.36,0.71,4,Technology
2102,513.47,-449.64,0.48,1,Technology
1724,2017.3,-148.49,0.17,1,Technology
9255,4967.48,-148.76,0.73,10,Furniture
6253,1192.15,814.39,0.79,9,Technology
7775,1509.5,-408.56,0.76,3,Office Supplies
7999,2783.69,-429.67,0.28,7,Office Supplies
6222,3484.58,112.39,0.24,3,Office Supplies
8758,1212.43,-161.98,0.69,3,Furniture
1944,2816.31,951.68,0.45,3,Furniture
4978,1282.43,-4.61,0.06,8,Furniture
2514,2682.82,744.11,0.04,7,Office Supplies
1647,4369.37,-217.76,0.61,9,Technology
8854,1052.36,860.55,0.24,1,Technology
4113,4810.77,-324.03,0.8,8,Technology
4350,1989.19,-141.0,0.26,5,Furniture
8639,2672.91,38.89,0.21,9,Furniture
8635,502.06,971.98,0.38,6,Technology
7073,1571.48,-431.43,0.69,3,Technology
5272,2771.02,376.05,0.58,5,Technology
4214,1656.03,69.76,0.67,8,Office Supplies
6530,1294.06,732.39,0.77,8,Furniture
3756,3666.53,28.26,0.11,9,Furniture
4015,4585.33,313.21,0.51,1,Office Supplies
1554,4196.95,-388.5,0.65,1,Technology
7756,696.08,446.05,0.05,3,Technology
4583,2533.61,59.8,0.49,10,Furniture
8993,88.5,298.32,0.33,1,Office Supplies
5501,2683.33,-69.97,0.4,7,Technology
2753,4591.06,286.58,0.19,10,Office Supplies
5135,4077.92,-99.01,0.32,6,Furniture
8520,2829.36,985.35,0.18,2,Office Supplies
1519,476.57,68.9,0.44,1,Office Supplies
1154,3517.2,-375.97,0.68,6,Office Supplies
2562,4475.01,878.73,0.18,10,Furniture
5441,242.34,-388.48,0.74,9,Office Supplies
1539,904.98,775.64,0.01,4,Office Supplies
3362,3763.75,569.07,0.32,2,Furniture
3661,2824.15,350.04,0.68,9,Furniture
7288,3780.49,-290.07,0.79,2,Office Supplies
6666,277.95,155.63,0.67,6,Office Supplies
7499,4844.91,-10.44,0.51,8,Furniture
4737,1785.5,911.71,0.35,10,Office Supplies
7227,437.61,427.92,0.64,2,Technology
5390,779.56,567.52,0.51,7,Furniture
6909,541.69,-492.21,0.25,6,Furniture
2674,671.21,-218.91,0.36,9,Office Supplies
7685,525.43,-365.57,0.44,10,Office Supplies
6315,4319.95,-481.49,0.33,2,Office Supplies
4977,2864.08,-245.63,0.3,3,Furniture
5933,1349.35,-281.1,0.13,5,Furniture
5911,2426.31,-384.62,0.2,4,Office Supplies
9123,2973.09,-206.68,0.09,5,Technology
7483,1667.76,430.29,0.64,6,Furniture
6484,2158.77,735.3,0.52,10,Technology
5922,1610.12,920.92,0.16,6,Technology
7524,4843.94,-62.83,0.56,8,Office Supplies
4971,1636.17,-79.55,0.63,6,Technology
4273,2965.21,318.44,0.55,9,Technology
8563,4715.44,-185.53,0.64,2,Furniture
9180,704.5,-45.75,0.2,3,Office Supplies
7932,3947.49,-389.05,0.79,8,Office Supplies
7566,2676.49,885.24,0.7,7,Office Supplies
1602,3955.7,39.29,0.72,9,Office Supplies
2392,555.75,-127.65,0.53,3,Office Supplies
1725,2820.47,467.55,0.52,6,Furniture
2735,62.63,-111.89,0.41,9,Office Supplies
4621,2234.43,86.7,0.62,10,Office Supplies
9199,762.22,996.55,0.39,5,Furniture
2406,589.19,911.01,0.11,5,Furniture
8460,3923.51,281.67,0.28,2,Furniture
8412,1601.36,-49.6,0.65,2,Technology
6620,3243.37,515.71,0.13,4,Office Supplies
3858,2764.03,-3.52,0.34,8,Technology
7636,3152.5,-220.42,0.53,7,Technology
4232,2253.38,144.33,0.0,4,Technology
5560,3764.1,713.09,0.05,2,Office Supplies
4063,1835.31,-204.39,0.09,8,Office Supplies
6134,2988.88,416.96,0.47,6,Furniture
8501,3090.64,720.61,0.56,5,Office Supplies
2388,3363.83,-30.22,0.19,2,Technology
7116,3470.25,266.24,0.33,3,Office Supplies
7286,2120.96,230.01,0.43,3,Office Supplies
3733,2453.31,-289.56,0.25,8,Office Supplies
1878,4328.96,927.76,0.39,4,Furniture
9281,3268.82,113.7,0.39,8,Furniture
3740,422.53,-453.71,0.61,5,Technology
5503,1131.97,-66.99,0.62,10,Office Supplies
9115,2753.13,-330.18,0.09,9,Furniture
9880,4114.83,-437.58,0.58,9,Technology
7965,521.06,745.11,0.6,5,Technology
8368,1321.45,793.3,0.07,2,Technology
4438,4055.41,381.89,0.28,10,Office Supplies
8015,838.25,-291.15,0.17,4,Technology
6747,2666.08,395.29,0.13,5,Furniture
5380,4762.46,271.62,0.72,2,Technology
7743,4594.66,988.73,0.69,3,Office Supplies
3174,1255.89,567.09,0.66,7,Furniture
3329,2891.35,-96.92,0.33,8,Technology
2525,2020.23,624.7,0.56,6,Furniture
8996,1643.17,-496.29,0.62,2,Office Supplies
8511,3177.85,545.93,0.68,9,Furniture
4568,4840.96,737.27,0.4,6,Furniture
6533,2741.08,-304.11,0.68,6,Office Supplies
1793,239.26,439.27,0.67,1,Technology
3588,2212.02,-498.99,0.77,4,Office Supplies
3161,4411.92,-47.2,0.7,5,Technology
6905,1259.44,57.77,0.72,3,Technology
7493,3131.77,588.98,0.6,7,Office Supplies
2494,3521.45,-498.37,0.38,3,Office Supplies
4705,2602.03,167.6,0.01,6,Technology
7919,3473.21,216.55,0.18,2,Office Supplies
2678,524.98,51.34,0.24,7,Technology
3340,351.37,344.94,0.49,3,Furniture
6753,3614.94,442.12,0.12,7,Office Supplies
8248,4301.21,-369.97,0.08,2,Office Supplies
7291,1764.16,144.08,0.63,4,Furniture
2380,1248.35,401.5,0.58,5,Office Supplies
1439,4240.98,487.61,0.24,9,Office Supplies
9348,951.35,87.63,0.52,4,Furniture
7322,572.59,249.37,0.48,9,Technology
6916,4670.28,-302.03,0.69,10,Furniture
6986,2736.32,-240.84,0.38,2,Technology
2106,78.83,-176.39,0.74,7,Office Supplies
5693,3146.57,251.57,0.33,7,Technology
9791,2692.9,-270.98,0.07,2,Office Supplies
4329,4871.82,-266.93,0.26,10,Office Supplies
2083,1557.75,156.23,0.76,4,Technology
5005,440.2,151.73,0.36,10,Technology
6067,3333.74,487.08,0.14,1,Office Supplies
3248,3510.48,-254.25,0.76,9,Office Supplies
5247,843.15,-309.6,0.62,5,Office Supplies
2934,3859.44,-455.97,0.65,5,Office Supplies
2046,1322.12,962.58,0.5,8,Furniture
9368,1807.02,249.42,0.45,6,Technology
5179,3868.91,841.4,0.54,2,Technology
9336,22.82,788.03,0.01,1,Furniture
6963,1921.07,-274.87,0.74,1,Office Supplies
7870,1130.33,-127.61,0.73,6,Furniture
2276,2861.96,-320.9,0.54,1,Technology
4656,4023.65,972.12,0.76,2,Furniture
5625,3869.9,-33.95,0.07,8,Technology
7044,1011.35,345.71,0.24,10,Technology
8600,1847.69,957.79,0.8,4,Office Supplies
9954,3804.81,-132.31,0.01,7,Technology
4817,2712.31,453.91,0.55,1,Furniture
1023,3797.06,64.41,0.59,5,Technology
4361,2653.77,-142.75,0.39,1,Technology
5584,474.2,881.91,0.72,9,Furniture
7102,2297.71,621.85,0.46,9,Technology
7461,383.4,351.73,0.35,3,Technology
5778,1312.34,-27.49,0.64,6,Furniture
8417,1367.06,-387.97,0.16,10,Technology
3546,537.23,174.35,0.25,2,Office Supplies
6870,4823.53,-188.55,0.25,5,Technology
2481,796.5,529.08,0.66,10,Technology
4522,4181.26,-8.31,0.07,4,Furniture
7492,2572.16,515.78,0.21,3,Technology
7625,4274.46,333.93,0.44,2,Furniture
2669,4021.44,-290.31,0.01,4,Technology
4246,4120.13,58.36,0.5,2,Office Supplies
5240,4587.97,-387.52,0.8,4,Office Supplies
8265,4048.4,-362.03,0.68,6,Technology
1699,4711.98,-424.04,0.74,7,Office Supplies
7471,2485.67,74.09,0.34,6,Technology
4066,1382.16,169.02,0.12,10,Office Supplies
5026,3239.92,248.34,0.71,8,Technology
2437,1406.08,-294.15,0.16,9,Technology
9907,3976.28,984.11,0.63,6,Furniture
9921,3909.36,16.05,0.45,6,Furniture
5430,907.28,-21.68,0.18,5,Technology
8728,2651.87,650.26,0.8,3,Technology
5060,3287.75,-100.21,0.65,1,Technology
7363,1780.48,758.83,0.68,3,Technology
6210,4032.99,546.44,0.73,1,Office Supplies
6761,4738.32,345.41,0.45,4,Furniture
9882,1552.17,235.65,0.07,4,Office Supplies
4584,109.44,216.98,0.27,10,Technology
3137,1710.39,-233.81,0.64,6,Technology
1359,747.08,557.04,0.11,2,Office Supplies
6978,4803.19,60.39,0.75,7,Office Supplies
2655,1689.44,-16.1,0.78,7,Office Supplies
8982,3249.41,-238.7,0.77,10,Furniture
4657,3331.0,721.68,0.3,5,Technology
3911,3646.87,923.18,0.76,7,Office Supplies
1530,918.59,-22.67,0.65,10,Technology
2705,4684.07,-289.03,0.6,4,Furniture
6234,847.76,827.98,0.07,6,Furniture
1186,1333.41,-125.69,0.05,5,Technology
1020,250.26,157.33,0.34,3,Furniture
9078,4410.04,26.85,0.3,8,Office Supplies
4695,821.66,-389.44,0.68,5,Technology
6221,1313.03,-342.91,0.27,7,Technology
2228,2739.76,847.19,0.07,10,Office Supplies
8909,3525.48,146.99,0.52,10,Furniture
3573,277.24,-3.36,0.78,7,Office Supplies
9849,1333.67,-77.72,0.19,1,Furniture
9043,776.41,41.24,0.34,5,Office Supplies
8869,1006.38,-461.4,0.14,5,Technology
8758,4220.41,-37.47,0.32,8,Office Supplies
5341,464.77,316.19,0.15,7,Furniture
4056,2234.42,-105.06,0.37,4,Furniture
2009,764.14,544.71,0.08,6,Office Supplies
7782,4853.82,384.59,0.44,7,Office Supplies
7858,4828.48,530.6,0.75,10,Technology
8803,1501.27,92.21,0.68,1,Office Supplies
9467,4004.25,516.3,0.5,2,Furniture
3832,4745.82,-249.25,0.17,4,Technology
1699,2122.64,982.42,0.35,3,Office Supplies
5225,1605.55,590.65,0.65,2,Furniture
7510,2764.75,784.94,0.42,1,Office Supplies
9561,3910.61,-331.22,0.12,10,Office Supplies
2641,4625.39,344.03,0.08,5,Office Supplies
6633,4390.69,-103.8,0.52,10,Office Supplies
8750,196.95,-86.88,0.12,10,Office Supplies
7581,203.52,834.36,0.27,4,Technology
8785,4604.97,845.55,0.02,5,Furniture
5593,4215.8,787.35,0.55,4,Technology
5923,4871.35,164.67,0.66,5,Office Supplies
7828,3028.85,-366.07,0.35,7,Office Supplies
8937,3799.87,800.78,0.66,9,Technology
2075,1562.5,260.19,0.11,9,Office Supplies
1474,876.95,812.77,0.16,1,Technology
1541,2287.68,877.05,0.56,5,Furniture
8605,2530.58,453.11,0.1,1,Technology
