order_id,item,price,notes,status,event_time,sale_date
2260,mango,error,Nisi do ut eiusmod et voluptate et irure.,shipped,2025-03-04,2026-02-12
1565,Banana,8.0,Consequat sit do ullamco reprehenderit dolor labore voluptate ea sed consequat veniam nostrud commodo.,packed,2025-12-03,2025-06-01
2615,APPLE,12.5,Duis adipiscing consectetur eiusmod elit laboris ipsum lorem ea eiusmod.,shipped,2025-01-17,2025-06-28
1543,Orange,45.0,Aliqua amet dolor ut et nostrud ut do exercitation aliquip dolor laboris incididunt.,ordered,2025-03-04,2026-05-06
2735,mango,22.99,Amet ut ut irure ut adipiscing consectetur exercitation nostrud ut dolore nostrud incididunt.,delivered,2025-04-12,2025-04-28
2746,apple,N/A,Ut do labore ut magna amet aliqua laboris dolore adipiscing dolor.,ordered,2025-04-04,2025-03-29
1190,mango,8.0,Aliquip commodo veniam nostrud quis labore consectetur et laboris ex aute aliquip reprehenderit.,shipped,2025-12-27,2025-04-17
2183,apple,N/A,Laboris do amet duis et ex quis commodo duis.,ordered,2025-10-01,2025-01-30
1369,banana,error,Et elit adipiscing laboris dolor aliquip reprehenderit sit minim dolore.,delivered,2025-12-16,2025-06-11
1757,banana,100.0,In nostrud aute adipiscing ex dolor sit ut aliqua exercitation magna do minim labore.,ordered,2025-10-18,2026-05-14
2079,banana,12.5,Dolore nostrud lorem incididunt do consectetur eiusmod labore lorem.,delivered,2025-06-29,2025-05-13
1778,apple,N/A,Quis laboris et magna aliquip aliqua ut sit ut aliqua magna ullamco.,shipped,2025-04-28,2026-02-19
1042,Mango,45.0,In ut nisi et aliqua amet aliqua magna sit aute ex do ea sit.,ordered,2025-07-18,2025-12-24
1719,ORANGE,N/A,Adipiscing sed nostrud ex laboris elit ea ad.,delivered,2025-11-27,2025-11-20
1309,Apple,8.0,Ut ut tempor dolor ad ut ut dolor consequat sit aute.,ordered,2026-01-29,2026-04-19
2188,apple,12.5,Dolor quis sed exercitation ad reprehenderit ut commodo duis voluptate sit.,packed,2025-02-10,2025-09-11
2449,Apple,5.5,Minim adipiscing dolore incididunt magna labore nostrud ea ullamco dolor amet nisi.,shipped,2025-09-16,2025-06-03
1682,orange,45.0,Ut laboris laboris consectetur ut sit quis ullamco labore consectetur.,ordered,2026-03-10,2026-01-06
1037,Mango,error,In labore ex sed voluptate adipiscing incididunt ea ad.,ordered,2025-12-11,2025-05-15
2223,mango,45.0,Elit nisi exercitation irure aliquip ipsum et ut reprehenderit.,shipped,2026-04-05,2025-08-28
2093,Banana,error,Ea irure sed nisi quis aliqua ea ea ad aliqua adipiscing sed exercitation aute.,ordered,2026-05-08,2026-01-16
2135,orange,8.0,Sit adipiscing ut minim consequat sit dolor consequat irure in.,delivered,2025-02-24,2026-02-10
2028,Mango,N/A,Voluptate dolore ipsum in duis ullamco commodo consectetur incididunt consequat nisi.,packed,2026-04-26,2026-04-05
2260,Orange,8.0,Tempor consequat veniam aliquip minim amet incididunt incididunt.,ordered,2025-09-02,2026-03-06
2308,APPLE,5.5,Amet irure nostrud lorem minim eiusmod adipiscing aliqua.,shipped,2025-09-04,2026-03-03
1383,orange,100.0,In veniam ea ad lorem aute ipsum dolore.,shipped,2025-09-17,2025-01-17
1731,orange,100.0,Aliquip ullamco ea aliquip labore ipsum veniam commodo elit.,delivered,2026-05-06,2025-07-06
2661,ORANGE,8.0,Ea ut incididunt ipsum sed ipsum in minim voluptate veniam eiusmod ex sed.,shipped,2025-02-18,2025-12-06
1559,orange,100.0,Irure aliquip irure dolore reprehenderit ad ad dolor minim commodo aliquip.,ordered,2026-03-17,2025-07-04
2117,banana,100.0,Sit laboris ut nostrud aliqua nisi et ipsum.,shipped,2026-03-22,2025-10-09
2309,Orange,8.0,Ullamco et commodo nisi in adipiscing exercitation ea ipsum dolor ea et dolore.,ordered,2025-06-07,2026-04-06
2943,Mango,100.0,Ex quis minim magna ullamco eiusmod amet aliquip ad dolore quis.,shipped,2025-09-24,2026-04-02
1439,APPLE,error,Dolor ad consectetur duis ut irure ut sit nisi duis ut labore dolor.,shipped,2025-11-04,2025-06-11
2457,ORANGE,100.0,Do voluptate commodo eiusmod ad et quis enim voluptate consectetur irure dolor.,delivered,2026-05-06,2026-02-25
2575,mango,8.0,Reprehenderit ullamco ut nisi labore aute ea ullamco elit.,packed,2026-03-20,2026-05-30
2865,Orange,8.0,Adipiscing elit ut ut labore in irure duis eiusmod ullamco veniam consectetur.,shipped,2025-04-06,2026-05-30
2312,ORANGE,45.0,Laboris ut exercitation duis quis consequat ipsum ipsum ullamco.,shipped,2025-08-04,2026-03-03
2265,Orange,5.5,Veniam ullamco incididunt eiusmod commodo magna ut nisi adipiscing magna ut labore adipiscing.,shipped,2025-12-20,2026-02-13
1267,Mango,8.0,Eiusmod consectetur ut adipiscing dolor in aute magna reprehenderit irure.,shipped,2025-11-17,2025-07-14
2562,ORANGE,5.5,Enim aute ad sit dolore ut eiusmod nostrud dolor incididunt nostrud duis.,delivered,2025-10-20,2025-01-09
2735,orange,22.99,Aute aliquip ex et magna quis sed veniam sit.,delivered,2025-10-14,2025-05-02
1263,orange,22.99,Commodo labore in ex sed ad ad ipsum consectetur labore.,delivered,2026-04-13,2025-06-02
2241,apple,45.0,In ut dolore exercitation duis nostrud ad ad ad quis.,delivered,2025-01-18,2026-01-13
1678,orange,22.99,Ut irure aute ullamco nostrud tempor laboris reprehenderit quis do dolor enim.,delivered,2025-06-01,2025-09-06
1064,APPLE,8.0,Lorem ut adipiscing nisi magna ea dolor aute aliquip.,ordered,2025-05-22,2025-08-01
2148,Mango,5.5,Dolore reprehenderit ut minim veniam nisi aute nisi commodo tempor enim reprehenderit.,shipped,2025-11-02,2025-08-19
2928,banana,error,Sed ut ut labore in commodo tempor consectetur nisi dolore voluptate consequat reprehenderit.,packed,2025-10-25,2025-02-13
1589,orange,100.0,Laboris ex do consequat tempor quis tempor amet aliquip eiusmod dolor.,packed,2025-08-27,2025-02-23
1205,mango,100.0,Enim nisi consectetur reprehenderit voluptate adipiscing laboris aute enim ullamco ex incididunt incididunt.,ordered,2025-04-02,2025-08-26
2095,Orange,45.0,Aute elit dolor voluptate magna ad in reprehenderit dolor aute lorem.,ordered,2025-12-10,2025-10-19
1930,apple,5.5,Duis enim sed amet adipiscing ut tempor sed aliquip.,shipped,2025-07-17,2025-06-29
2251,mango,22.99,Labore magna amet voluptate enim in lorem dolore ut tempor labore nostrud.,ordered,2025-09-25,2026-01-04
2418,Banana,12.5,Consectetur ut magna ad irure ut ut consectetur dolor incididunt exercitation do consectetur.,packed,2026-04-11,2026-01-18
1851,apple,5.5,Veniam laboris do eiusmod ex aute sit ut ut sit quis dolor veniam ad.,packed,2025-06-18,2025-12-02
2749,apple,5.5,Nisi ut ad irure ut dolor consectetur magna.,ordered,2026-04-19,2025-11-12
2481,Orange,22.99,Consequat ex quis ipsum labore dolor voluptate in dolor in.,ordered,2025-10-21,2026-02-23
1368,ORANGE,22.99,Voluptate dolore aute irure dolore nisi laboris veniam laboris labore.,packed,2026-02-07,2025-05-11
2490,Banana,12.5,Lorem incididunt laboris veniam minim consequat eiusmod labore tempor in aliquip amet commodo aliqua.,ordered,2025-09-04,2025-07-31
1137,orange,12.5,Nostrud ut dolor aliquip magna eiusmod do aute dolor ad incididunt.,shipped,2025-11-25,2025-08-31
1618,ORANGE,N/A,Incididunt dolor in aute dolor exercitation aliqua ad reprehenderit in laboris.,shipped,2026-03-03,2026-02-23
1305,banana,22.99,Ex enim duis incididunt ut commodo dolor quis reprehenderit.,packed,2026-02-02,2025-09-06
1522,Banana,100.0,Sit ut et veniam consequat dolor dolore exercitation ipsum sit commodo nostrud laboris.,packed,2026-05-06,2025-08-02
2780,Mango,error,Do sed aliquip ex ex dolor nisi ut.,delivered,2025-09-03,2025-11-26
2588,banana,22.99,Minim et tempor minim ad amet voluptate enim duis dolor et.,delivered,2025-02-16,2025-08-15
2518,ORANGE,12.5,Veniam nostrud ut incididunt sed do quis eiusmod veniam in.,shipped,2025-09-21,2026-05-16
2979,Apple,5.5,Aliquip et adipiscing veniam elit irure voluptate reprehenderit minim.,ordered,2025-02-19,2025-01-07
1844,ORANGE,N/A,Ut lorem ad dolore exercitation laboris exercitation enim.,delivered,2025-01-17,2025-01-07
2089,apple,22.99,Lorem aliquip veniam incididunt ad ut aliqua in.,packed,2025-04-20,2025-04-09
2073,ORANGE,N/A,Exercitation eiusmod et commodo sit reprehenderit ut eiusmod nisi.,shipped,2025-03-24,2025-02-02
1191,mango,22.99,Veniam dolor lorem elit ad aliqua ea quis duis amet minim.,ordered,2025-08-24,2025-08-05
2845,APPLE,5.5,Dolor sit dolor irure quis ipsum dolor ut reprehenderit nostrud.,delivered,2025-03-20,2025-11-03
1332,APPLE,N/A,Consequat dolore irure labore ex adipiscing voluptate aliquip ad reprehenderit dolor aliqua.,ordered,2025-12-15,2026-02-11
2984,Mango,12.5,Tempor voluptate ad et in aliqua nisi laboris sit exercitation commodo ut sit.,packed,2026-01-25,2025-06-07
2514,mango,100.0,Amet lorem ut et tempor consectetur sed ut veniam magna.,ordered,2025-04-02,2025-12-29
2135,orange,100.0,Dolore incididunt dolore sit irure irure voluptate quis elit dolore consectetur incididunt ad dolor.,delivered,2025-10-10,2026-03-08
1613,Apple,8.0,Eiusmod eiusmod exercitation nostrud sed amet ut in labore exercitation.,shipped,2026-03-27,2025-12-09
1881,APPLE,45.0,Ut in sed ut reprehenderit reprehenderit incididunt nisi ad quis.,packed,2025-11-30,2026-01-21
1574,mango,100.0,In sed voluptate elit ea ipsum aliquip in.,packed,2026-03-25,2025-10-26
2702,orange,22.99,Ad ullamco eiusmod laboris ut ea sit voluptate enim magna ad dolor nisi.,ordered,2026-01-04,2025-03-29
1223,Banana,100.0,Ullamco ipsum voluptate nisi magna ex reprehenderit aliqua lorem.,shipped,2025-08-16,2025-08-15
1912,Mango,22.99,Ea nostrud ad labore ipsum amet magna reprehenderit amet in adipiscing.,shipped,2025-12-18,2026-04-12
2606,Banana,5.5,Enim aliqua nisi ut incididunt commodo amet duis ullamco nisi.,packed,2025-09-07,2025-06-28
2130,ORANGE,100.0,Aliqua ut commodo ullamco sed laboris magna aliquip aute ut aliqua lorem.,packed,2025-07-30,2025-10-13
2540,orange,8.0,Aute sed labore ut tempor aute minim ullamco nostrud exercitation nostrud labore duis exercitation.,shipped,2025-03-28,2025-05-18
1641,orange,N/A,Consectetur dolore adipiscing dolore nostrud quis aliqua enim veniam dolor.,packed,2025-06-20,2026-05-17
1591,ORANGE,45.0,Duis exercitation aute in enim sed dolore quis laboris magna.,delivered,2026-03-02,2026-03-31
2000,ORANGE,8.0,Ipsum ex incididunt tempor veniam elit ut aliquip ex veniam amet amet.,shipped,2025-02-12,2026-03-28
2118,Banana,22.99,Aliquip laboris eiusmod aute ipsum tempor aute sit.,ordered,2025-08-31,2025-08-03
2660,APPLE,100.0,Ut ullamco elit consectetur sed sed dolor et incididunt veniam ut ut incididunt tempor.,ordered,2025-05-19,2026-02-26
2881,Orange,error,Laboris ut consectetur adipiscing ut eiusmod duis dolore adipiscing ullamco exercitation dolore sit commodo.,ordered,2026-02-17,2025-10-12
2422,Mango,5.5,Labore lorem ea aliquip aliquip ut laboris et dolor minim do.,delivered,2025-08-05,2026-05-22
1549,Mango,error,Veniam consectetur duis ea irure ex ipsum exercitation consequat lorem.,packed,2026-03-28,2026-04-13
1001,mango,N/A,Dolor aute incididunt aute aute amet et sit laboris ullamco dolor exercitation aliquip.,packed,2026-03-16,2025-04-04
2441,orange,12.5,Enim consectetur do nisi lorem nisi consequat voluptate aliqua.,packed,2026-05-05,2025-03-14
1468,mango,8.0,Commodo amet et incididunt dolore commodo aute ullamco nisi dolor quis exercitation elit.,shipped,2025-08-07,2025-06-05
2883,mango,5.5,Do irure adipiscing consectetur aliquip et aliqua commodo eiusmod ullamco eiusmod nostrud aliquip incididunt.,ordered,2025-11-05,2025-07-30
2060,APPLE,N/A,Dolore ullamco ea commodo eiusmod dolore eiusmod ullamco sit irure lorem et ut.,delivered,2026-03-07,2026-01-10
2118,ORANGE,5.5,Sit nostrud lorem do dolor in magna incididunt ut ex aliqua magna ullamco veniam.,packed,2025-10-12,2025-03-27
1634,orange,N/A,Adipiscing labore nostrud ex ullamco ullamco ut aliqua in eiusmod eiusmod dolor amet exercitation.,ordered,2025-11-13,2025-06-29
1244,Orange,45.0,Lorem ad labore minim consequat tempor et ex aute aliquip consectetur irure labore.,delivered,2025-10-06,2025-03-07
1538,APPLE,8.0,Ut et ad quis et eiusmod amet quis aliquip do ad.,ordered,2025-01-13,2025-09-08
1094,Apple,100.0,Dolor elit reprehenderit ipsum commodo ut laboris do eiusmod dolor ut.,ordered,2026-01-17,2025-05-03
2028,Orange,45.0,Commodo voluptate reprehenderit dolor ut incididunt duis labore veniam.,ordered,2026-01-13,2025-07-25
1597,APPLE,error,Exercitation ut nostrud ad ea sed irure ex eiusmod lorem magna eiusmod labore.,ordered,2025-12-10,2025-01-02
2554,mango,error,Sed voluptate aliqua reprehenderit reprehenderit adipiscing incididunt ipsum.,packed,2026-02-27,2026-01-17
1938,orange,8.0,Consectetur consequat sit quis aliqua reprehenderit eiusmod tempor ut commodo ut aliquip.,shipped,2026-04-09,2025-10-06
1478,orange,N/A,Ea nostrud adipiscing elit enim magna veniam reprehenderit sed.,shipped,2026-04-20,2025-09-29
2745,orange,8.0,Commodo ut ut nostrud do duis adipiscing ut reprehenderit.,delivered,2025-02-20,2025-11-03
1532,ORANGE,12.5,Duis veniam veniam amet amet commodo consectetur dolor ea do sed.,delivered,2026-01-17,2025-03-28
2192,APPLE,error,Sit voluptate sed ullamco commodo sit duis commodo consectetur in dolor dolor aliqua aliquip.,delivered,2025-01-31,2026-01-27
2399,mango,45.0,Do sed incididunt aute ipsum exercitation eiusmod incididunt magna veniam.,ordered,2025-03-31,2025-10-14
1784,ORANGE,22.99,Ullamco commodo eiusmod voluptate veniam lorem dolore ut enim.,delivered,2025-12-19,2026-05-30
1658,mango,error,Ipsum nostrud ipsum commodo incididunt commodo enim et nostrud.,packed,2025-06-13,2025-04-13
1507,Banana,error,Consequat dolor dolor voluptate do duis commodo et duis duis elit nostrud.,shipped,2025-01-29,2025-12-27
2940,APPLE,45.0,In consequat commodo reprehenderit veniam elit ipsum dolor nostrud lorem enim labore.,packed,2025-05-14,2025-12-15
2468,ORANGE,100.0,Lorem nostrud dolor ea duis aute reprehenderit dolore.,delivered,2025-04-14,2025-12-11
1618,Mango,45.0,Aliquip aliqua ullamco enim ut ut quis irure exercitation.,shipped,2025-08-17,2025-06-29
1774,banana,error,Elit lorem ut quis duis ea quis elit ut.,packed,2025-04-17,2026-05-24
1288,Mango,8.0,Labore ut ullamco reprehenderit consequat laboris aliquip labore lorem.,packed,2025-09-13,2025-03-11
1717,banana,8.0,Lorem dolore aliquip reprehenderit irure ad dolore veniam amet enim aute ullamco nisi.,packed,2026-04-08,2025-03-17
2636,Orange,error,Ut in sit elit dolore aliquip veniam irure.,ordered,2025-12-13,2026-05-10
2442,Orange,22.99,Elit irure adipiscing amet sed sed nisi aliquip aliquip tempor incididunt eiusmod dolor.,delivered,2025-06-07,2025-02-25
1738,Orange,22.99,Incididunt laboris nostrud sed ipsum elit incididunt sit.,ordered,2025-11-12,2026-02-12
1964,Apple,error,Ullamco dolore et dolore sed ipsum aliqua tempor.,shipped,2025-03-05,2025-06-04
2540,orange,8.0,Labore veniam reprehenderit nostrud veniam duis consequat aliqua veniam aute enim aute enim.,ordered,2026-02-09,2025-02-05
2028,APPLE,45.0,In ut in elit do sed ipsum sit.,delivered,2025-07-26,2025-06-01
2708,APPLE,error,Dolor dolor dolor dolore magna labore tempor ut aute ea.,delivered,2025-04-26,2026-03-01
1306,ORANGE,8.0,Quis amet incididunt veniam labore magna dolore enim.,delivered,2025-02-08,2025-06-26
1564,mango,45.0,Exercitation nisi ipsum irure labore eiusmod ex dolor irure lorem consequat ut.,shipped,2026-05-19,2025-04-11
2991,Banana,45.0,Reprehenderit ut consequat tempor magna ullamco sed do consequat aliquip.,shipped,2025-02-27,2025-06-12
1134,banana,22.99,Ea minim quis elit aute sed dolor ipsum dolor.,shipped,2025-07-23,2025-10-08
1754,Apple,22.99,Dolor nisi eiusmod ad ut reprehenderit enim veniam labore duis tempor consequat sit.,ordered,2026-01-31,2025-02-20
1333,APPLE,N/A,Do do sed laboris minim aute reprehenderit nisi enim consectetur elit commodo do exercitation.,shipped,2025-10-09,2026-03-10
2833,mango,100.0,Eiusmod enim nisi consequat magna amet ad laboris duis dolore ullamco.,shipped,2025-11-02,2025-04-21
1986,orange,100.0,Ullamco aute tempor ut irure incididunt adipiscing ex irure commodo.,delivered,2025-11-24,2025-05-24
2477,Orange,5.5,Tempor magna dolore ipsum ut quis sed aliquip do minim.,delivered,2026-01-03,2025-11-04
2731,ORANGE,45.0,Amet consectetur tempor commodo ex elit nisi labore sit et.,shipped,2026-03-07,2025-12-06
1761,banana,error,Duis enim aute nostrud in sit irure ad aute dolore incididunt.,ordered,2025-06-04,2025-05-21
1410,Mango,22.99,Irure voluptate adipiscing aute elit sit labore voluptate ut dolor ut do.,packed,2025-06-12,2026-05-17
2608,orange,45.0,Aliqua aliqua aliqua enim lorem minim aliquip in irure ex minim lorem.,ordered,2025-09-12,2025-08-20
2420,Mango,error,Amet ad ut dolor ipsum in ut minim minim.,delivered,2025-05-18,2025-12-17
2846,Apple,100.0,Sed in dolor magna do aliquip consectetur aliquip nostrud elit et ullamco ipsum aute.,shipped,2025-02-19,2025-02-19
2355,orange,12.5,Nisi magna dolore veniam enim adipiscing nisi ullamco.,shipped,2026-03-07,2025-04-14
2356,apple,error,Exercitation consectetur consequat amet ut consectetur amet amet sed sed tempor minim.,packed,2026-01-02,2026-02-24
1604,ORANGE,12.5,Ad sed in labore lorem laboris irure consequat laboris adipiscing sit minim.,ordered,2025-09-20,2025-08-25
1935,banana,error,Dolor commodo aute duis et nisi aliqua amet duis irure lorem.,packed,2025-06-24,2025-12-03
1732,Apple,error,Sit consequat elit magna reprehenderit tempor dolore duis commodo ullamco commodo amet nisi.,ordered,2025-06-13,2025-04-17
1852,APPLE,5.5,Quis aliqua exercitation ea exercitation aute aute aliquip irure enim enim irure aliqua dolor.,shipped,2025-01-13,2025-08-18
2957,Mango,8.0,Laboris eiusmod labore nisi dolore duis quis voluptate dolor ullamco adipiscing.,delivered,2026-05-23,2025-06-19
1153,Apple,100.0,Labore tempor ad veniam dolore consequat sit ut quis.,ordered,2026-05-26,2026-04-03
1647,orange,5.5,Laboris amet magna veniam lorem sit nostrud exercitation ut ad sed laboris in.,shipped,2025-02-25,2025-08-17
2729,Apple,100.0,Ex nostrud ut et ut amet laboris lorem et ullamco commodo veniam.,shipped,2025-04-19,2025-02-16
2836,ORANGE,5.5,Consequat aliquip magna eiusmod sed consectetur duis do consequat.,packed,2025-12-13,2025-04-21
2550,mango,12.5,Duis nostrud ea ut laboris reprehenderit consectetur ad minim dolor in duis enim.,packed,2025-06-27,2025-05-12
1212,mango,100.0,Aute aliqua exercitation nisi eiusmod magna labore incididunt commodo consectetur nostrud irure.,shipped,2025-11-18,2025-08-11
1411,Banana,error,Labore laboris voluptate ullamco reprehenderit ad nisi ut amet et enim quis laboris.,delivered,2025-10-20,2026-03-09
2655,Orange,8.0,Dolore dolor dolor tempor ea voluptate nisi adipiscing.,ordered,2025-10-30,2025-07-28
2543,apple,12.5,Consequat amet aute aliquip aute aliquip quis eiusmod ea commodo.,shipped,2025-02-18,2026-01-26
1793,mango,100.0,Dolor aliquip sed aute duis ut do ullamco ut et nostrud aliquip.,packed,2025-07-18,2025-10-29
1919,ORANGE,8.0,Reprehenderit aliquip consectetur ipsum incididunt tempor adipiscing duis lorem.,delivered,2025-06-08,2025-02-10
1314,Mango,12.5,In exercitation laboris ad quis et ea ut do elit dolor ad magna veniam.,ordered,2025-12-24,2025-08-15
2809,Banana,100.0,Et do ex minim voluptate consequat voluptate lorem laboris ut.,packed,2025-02-10,2025-11-25
1781,orange,22.99,Veniam incididunt dolor consequat dolore commodo ut ipsum irure sed.,ordered,2025-04-09,2025-06-21
2989,apple,12.5,Dolor laboris ea aute aliqua amet veniam ut reprehenderit ea ullamco in ex.,packed,2025-01-25,2026-04-16
